Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG01.13.1,AG01,1,954120,5/19/2013 11:58,5/30/2013 13:00,2013,0,0
AG01.13.2,AG01,2,5541000,6/15/2013 11:05,8/18/2013 14:15,2013,0,0
AG01.14.1,AG01,1,1307640,6/16/2014 10:20,7/1/2014 13:34,2014,1,0
AG01.14.2,AG01,2,4228860,7/22/2014 15:10,9/9/2014 13:51,2014,1,0
AG01.15.1,AG01,1,7704600,6/18/2015 10:50,9/15/2015 15:00,2015,1,0
AG01.16.1,AG01,1,1462620,8/10/2016 10:13,8/27/2016 8:30,2016,0,0
AG01.18.1,AG01,1,5940600,7/13/2018 14:20,9/20/2018 8:30,2018,0,0
AG01.19.1,AG01,1,1204800,5/25/2019 12:28,6/8/2019 11:08,2019,1,0
AG01.19.2,AG01,2,3710820,6/24/2019 9:43,8/6/2019 8:30,2019,1,0
AG01.20.1,AG01,1,2421180,8/8/2020 10:23,9/5/2020 10:56,2020,0,0
AG02.13.1,AG02,1,7944300,5/19/2013 14:15,8/19/2013 13:00,2013,0,0
AG02.14.1,AG02,1,7163100,6/18/2014 13:15,9/9/2014 11:00,2014,1,0
AG02.15.1,AG02,1,8556060,6/12/2015 10:30,9/19/2015 11:11,2015,1,0
AG02.16.1,AG02,1,3645780,8/3/2016 10:48,9/14/2016 15:31,2016,0,0
AG02.18.1,AG02,1,1286100,6/13/2018 11:15,6/28/2018 8:30,2018,0,0
AG02.18.2,AG02,2,161160,7/13/2018 11:44,7/15/2018 8:30,2018,0,0
AG02.18.3,AG02,3,3714180,7/27/2018 11:32,9/8/2018 11:15,2018,0,0
AG02.19.1,AG02,1,599400,5/23/2019 10:00,5/30/2019 8:30,2019,1,0
AG02.19.2,AG02,2,6737880,6/6/2019 10:55,8/23/2019 10:33,2019,1,0
AG02.20.1,AG02,1,3537480,7/25/2020 13:15,9/4/2020 11:53,2020,0,0
AG03.13.1,AG03,1,7675020,5/22/2013 12:23,8/19/2013 8:20,2013,0,0
AG03.14.1,AG03,1,8031060,6/10/2014 12:40,9/11/2014 11:31,2014,1,0
AG03.15.1,AG03,1,8543700,6/12/2015 13:00,9/19/2015 10:15,2015,1,0
AG03.18.1,AG03,1,2074500,7/16/2018 12:09,8/9/2018 12:24,2018,0,0
AG03.20.1,AG03,1,3538680,7/25/2020 11:53,9/4/2020 10:51,2020,0,0
AG04.13.1,AG04,1,7663440,5/22/2013 16:51,8/19/2013 9:35,2013,0,0
AG04.14.1,AG04,1,5534340,6/12/2014 11:20,8/15/2014 12:39,2014,1,0
AG04.14.2,AG04,2,1131060,8/29/2014 9:25,9/11/2014 11:36,2014,1,0
AG04.15.1,AG04,1,9248520,6/4/2015 10:28,9/19/2015 11:30,2015,1,0
AG04.18.1,AG04,1,6981180,7/16/2018 13:17,10/5/2018 8:30,2018,0,0
AG04.19.1,AG04,1,420900,5/24/2019 11:35,5/29/2019 8:30,2019,1,0
AG04.19.2,AG04,2,249120,6/7/2019 11:18,6/10/2019 8:30,2019,1,0
AG04.19.3,AG04,3,857340,6/21/2019 10:21,7/1/2019 8:30,2019,1,0
AG04.19.4,AG04,4,4055340,7/7/2019 10:02,8/23/2019 8:31,2019,1,0
AG04.20.1,AG04,1,3541200,7/25/2020 10:00,9/4/2020 9:40,2020,0,0
AG05.13.1,AG05,1,5442060,5/26/2013 11:19,7/28/2013 11:00,2013,0,0
AG05.14.1,AG05,1,8032740,6/7/2014 9:15,9/8/2014 8:34,2014,1,0
AG05.15.1,AG05,1,8624700,6/13/2015 15:00,9/21/2015 10:45,2015,1,0
AG05.16.1,AG05,1,0,5/6/2016 10:54,5/6/2016 10:54,2016,0,0
AG05.18.1,AG05,1,1802580,5/24/2018 11:47,6/14/2018 8:30,2018,0,0
AG05.18.2,AG05,2,8641260,7/9/2018 10:59,10/17/2018 11:20,2018,0,0
AG05.19.1,AG05,1,1988520,5/22/2019 11:25,6/14/2019 11:47,2019,1,0
AG05.19.2,AG05,2,5258280,6/19/2019 11:53,8/19/2019 8:31,2019,1,0
AG05.20.1,AG05,1,3548460,6/10/2020 11:18,7/21/2020 12:59,2020,0,0
AG06.13.1,AG06,1,7583100,5/26/2013 18:10,8/22/2013 12:35,2013,0,0
AG06.14.1,AG06,1,8893080,5/28/2014 15:25,9/8/2014 13:43,2014,1,0
AG06.15.1,AG06,1,8138400,6/19/2015 11:50,9/21/2015 16:30,2015,1,0
