"","survey_unique","station","date","year","month","day","forest","total.g.per.m2","ripe.g.per.m2","dipt.g.per.m2","ripe.dipt.g.per.m2","fagaceae.g.per.m2","euphorb.g.per.m2","nondipt.g.per.m2","ripe.nondipt.g.per.m2"
"1","AG01_5","AG01",2014-06-16,2014,6,16,"Danum",0.309962182,0.048407643,0.041142516,0,0,0,0.268819666,0.048407643
"2","AG02_5","AG02",2014-06-18,2014,6,18,"Danum",0.008250398,0.008250398,0,0,0,0.008250398,0.008250398,0.008250398
"3","AG03_5","AG03",2014-06-10,2014,6,10,"Danum",0,0,0,0,0,0,0,0
"4","AG04_5","AG04",2014-06-12,2014,6,12,"Danum",0.001592357,0,0,0,0,0,0.001592357,0
"5","AG05_5","AG05",2014-06-07,2014,6,7,"Danum",9.96657577,0,0,0,0,0.6345694,9.96657577,0
"6","AG06_5","AG06",2014-05-28,2014,5,28,"Danum",0.041813296,0,0,0,0,0.013734076,0.041813296,0
"7","AG07_5","AG07",2014-05-27,2014,5,27,"Danum",0.299158041,0.218033439,0,0,0.00901672,0,0.299158041,0.218033439
"8","AG08_5","AG08",2014-05-27,2014,5,27,"Danum",0.039102309,0,0,0,0,0,0.039102309,0
"9","AG09_5","AG09",2014-06-16,2014,6,16,"Danum",0.346388336,0,0.027026274,0,0,0,0.319362062,0
"10","AG10_5","AG10",2014-06-17,2014,6,17,"Danum",0.052229299,0,0.052229299,0,0,0,0,0
"11","AG11_5","AG11",2014-06-17,2014,6,17,"Danum",1.50467423,0,0.023318073,0,0,0,1.481356157,0
"12","AG13_5","AG13",2014-06-11,2014,6,11,"Danum",0.023005573,0,0,0,0,0.023005573,0.023005573,0
"13","AG14_5","AG14",2014-05-26,2014,5,26,"Danum",0.192474788,0.004254246,0,0,0,0.097133758,0.192474788,0.004254246
"14","AG15_5","AG15",2014-06-14,2014,6,14,"Danum",0,0,0,0,0,0,0,0
"15","AG16_5","AG16",2014-06-12,2014,6,12,"Danum",0.02003052,0.01395966,0,0,0.01395966,0,0.02003052,0.01395966
"16","AG17_5","AG17",2014-06-07,2014,6,7,"Danum",0.011795382,0,0.011795382,0,0,0,0,0
"17","AG19_5","AG19",2014-06-15,2014,6,15,"Danum",0.160627986,0,0.144154061,0,0,0.016473925,0.016473925,0
"18","AG20_5","AG20",2014-06-11,2014,6,11,"Danum",0,0,0,0,0,0,0,0
"19","AG21_5","AG21",2014-06-08,2014,6,8,"Danum",0.048365844,0,0,0,0,0.010587182,0.048365844,0
"20","AG22_5","AG22",2014-06-08,2014,6,8,"Danum",1.699206476,0,0,0,0,0,1.699206476,0
"21","AG23_5","AG23",2014-06-30,2014,6,30,"Malua",0.00330414,0,0,0,0,0,0.00330414,0
"22","AG24_5","AG24",2014-05-30,2014,5,30,"Malua",0.15888336,0.122790605,0,0,0,0.006882962,0.15888336,0.122790605
"23","AG25_5","AG25",2014-06-01,2014,6,1,"Malua",0.216871019,0.164808917,0.052062102,0,0,0.164808917,0.164808917,0.164808917
"24","AG26_5","AG26",2014-06-01,2014,6,1,"Malua",0,0,0,0,0,0,0,0
"25","AG27_5","AG27",2014-06-02,2014,6,2,"Malua",0.055294586,0.055294586,0,0,0,0.055294586,0.055294586,0.055294586
"26","AG28_5","AG28",2014-06-03,2014,6,3,"Malua",0.019745223,0.019745223,0,0,0,0,0.019745223,0.019745223
"27","AG29_5","AG29",2014-06-30,2014,6,30,"Malua",0.115764331,0,0.061226115,0,0,0,0.054538216,0
"28","AG30_5","AG30",2014-06-02,2014,6,2,"Malua",0.018753981,0.014872611,0,0,0,0,0.018753981,0.014872611
"29","AG31_5","AG31",2014-06-04,2014,6,4,"Malua",1.550129313,1.075001327,0.031359475,0.02611465,0,0,1.518769838,1.048886677
"30","AG32_5","AG32",2014-06-04,2014,6,4,"Malua",0,0,0,0,0,0,0,0
"31","AG33_5","AG33",2014-06-03,2014,6,3,"Malua",0.081707803,0,0,0,0,0,0.081707803,0
"32","AG34_5","AG34",2014-06-01,2014,6,1,"Malua",0.003085191,0,0,0,0,0.003085191,0.003085191,0
"33","AG35_5","AG35",2014-05-31,2014,5,31,"Malua",0,0,0,0,0,0,0,0
"34","AG36_5","AG36",2014-06-28,2014,6,28,"Malua",0.231532643,0,0.007249204,0,0,0,0.224283439,0
"35","AG37_5","AG37",2014-06-27,2014,6,27,"Malua",0,0,0,0,0,0,0,0
"36","AG38_5","AG38",2014-06-27,2014,6,27,"Malua",0.014132166,0,0,0,0,0,0.014132166,0
"37","AG39_5","AG39",2014-06-27,2014,6,27,"Malua",0,0,0,0,0,0,0,0
"38","AG40_5","AG40",2014-06-29,2014,6,29,"Malua",0,0,0,0,0,0,0,0
"39","AG41_5","AG41",2014-06-29,2014,6,29,"Malua",0.017515924,0,0,0,0,0,0.017515924,0
"40","AG42_5","AG42",2014-06-26,2014,6,26,"Malua",0.01924164,0,0,0,0,0,0.01924164,0
"41","AG43_5","AG43",2014-05-26,2014,5,26,"Danum",0.069374005,0,0,0,0,0.010011943,0.069374005,0
"42","AG44_5","AG44",2019-07-13,2014,7,13,"Danum",0,0,0,0,0,0,0,0
"43","AG01_6","AG01",2014-07-01,2014,7,1,"Danum",13.98219546,0.90102508,0.216301752,0,0,0,13.765893708,0.90102508
"44","AG02_6","AG02",2014-07-08,2014,7,8,"Danum",0.260385483,0,0.0367569,0,0,0.033429538,0.223628583,0
"45","AG03_6","AG03",2014-07-02,2014,7,2,"Danum",1.55075836,1.548226513,0,0,0,0.513933121,1.55075836,1.548226513
"46","AG04_6","AG04",2014-06-26,2014,6,26,"Danum",0.076012473,0.056413217,0,0,0.019599257,0,0.076012473,0.056413217
"47","AG05_6","AG05",2014-06-19,2014,6,19,"Danum",0.662818471,0.662818471,0,0,0,0.040684713,0.662818471,0.662818471
"48","AG06_6","AG06",2014-06-19,2014,6,19,"Danum",0.073976911,0.007842357,0.038196656,0,0,0.009673567,0.035780255,0.007842357
"49","AG07_6","AG07",2014-06-13,2014,6,13,"Danum",0.028789809,0,0,0,0,0.007205414,0.028789809,0
"50","AG08_6","AG08",2014-06-11,2014,6,11,"Danum",0.03566879,0,0.03566879,0,0,0,0,0
"51","AG09_6","AG09",2014-07-01,2014,7,1,"Danum",0.953224522,0,0.435350318,0,0,0,0.517874204,0
"52","AG10_6","AG10",2014-07-05,2014,7,5,"Danum",1.065993232,0,1.010390127,0,0.001861067,0,0.0556031050000001,0
"53","AG11_6","AG11",2014-07-05,2014,7,5,"Danum",0.029976778,0.00811173,0,0,0,0,0.029976778,0.00811173
"54","AG13_6","AG13",2014-06-21,2014,6,21,"Danum",0.158479299,0,0,0,0.077547771,0,0.158479299,0
"55","AG14_6","AG14",2014-06-16,2014,6,16,"Danum",0.409518312,0,0.046982484,0,0,0.290083599,0.362535828,0
"56","AG15_6","AG15",2014-06-29,2014,6,29,"Danum",2.128284236,1.996417197,0.005871815,0,0,0.117436306,2.122412421,1.996417197
"57","AG16_6","AG16",2014-06-26,2014,6,26,"Danum",0.462778662,0.132384554,0,0,0.113813694,0,0.462778662,0.132384554
"58","AG17_6","AG17",2014-06-20,2014,6,20,"Danum",0.731359475,0,0.731359475,0,0,0,0,0
"59","AG19_6","AG19",2014-06-30,2014,6,30,"Danum",0.875532776,0,0.875532776,0,0,0,0,0
